,Hatespeech,Target communities,Rationales,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Hopefully,they,investigate,the,diseases,that,immigrants,bring,into,America,like,AIDS,and,EBOLA,and,,,,,,,,,,,,,
Abreen,hatespeech ,Refugee ,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,,,,,,,,,,,,,
Clary,hatespeech ,Refugee ,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,
Lei,hatespeech ,Refugee ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
2,,,You,forgot,the,mass,uncontrolled,3rd,world,immigration,plus,the,crime,and,disease,they,bring,into,the,UK,,,,,,,,,,
Abreen,hatespeech ,Refugee ,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,
Clary,hatespeech ,Refugee ,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,
Lei,hatespeech ,Refugee ,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,
3,,,We,should,close,the,borders,until,the,Wall,is,built,They,never,assimilate,amp,bring,disease,that,s,been,eradicated,\u2026,,,,,,,
Abreen,hatespeech ,Refugee ,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,,,,,,,
Clary,hatespeech ,Refugee ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,
Lei,hatespeech ,Refugee ,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,,,,,,,
4,,,While,they,bring,disease,and,ruin,your,walls,and,eat,your,foods,without,giving,a,shit,about,you,Fuck,if,I,care,,,,,,
Abreen,hatespeech ,Refugee ,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,
Clary,hatespeech ,Refugee ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,
Lei,hatespeech ,Refugee ,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,
5,,,Stop,all,Travel,until,isolated,Stop,illegals,they,bring,damn,disease,,,,,,,,,,,,,,,,,
